Average Cost for two,Longitude,Latitude
70,-46.63566667,-23.58516667
120,-46.746958,-23.609207
25,-84.221535,31.610387
10,-84.207095,31.608743
0,-84.154,31.5772
0,-84.2194,31.6158
10,-84.206944,31.622412
0,-84.1759,31.5882
10,-84.2193,31.616
10,-84.2091458,31.6155186
25,-84.205718,31.604905
70,-84.223278,31.612121
25,-84.2191,31.6156
10,-84.212,31.6104
10,-84.1534,31.5751
25,-84.2228,31.6077
25,-84.2229,31.6185
40,-84.2164,31.6137
40,-84.2233,31.6118
40,-84.205025,31.605882
10,-84.1757,31.5985
10,-83.8389,31.5308
20,151.6688792,-30.5147169
40,-83.378273,33.957999
10,-83.3654,33.9535
10,-83.4293,33.9652
10,-83.3389,33.9259
10,-83.375523,33.958198
10,-83.384004,33.959392
10,-83.3797,33.9584
25,-83.373596,33.958112
25,-83.33995,33.924275
40,-83.3872482,33.9415545
10,-83.381625,33.960112
10,-83.400887,33.963296
40,-83.4075,33.9584
25,-83.379251,33.957503
10,-83.383605,33.960571
40,-83.37967,33.959468
10,-83.38728,33.937502
10,-83.3764,33.9584
25,-83.378881,33.958363
10,-83.3828224,33.9600227
40,-82.0865,33.4721
40,-82.0698,33.4791
25,-81.97,33.4765
10,-81.9684,33.474
25,-81.973006,33.477444
40,-81.965571,33.481779
25,-82.0327,33.4086
40,-81.974944,33.478231
25,-82.096,33.4827
25,-81.9721,33.4778
10,-81.9694,33.4764
25,-82.0505,33.5133
40,-82.0301,33.4848
40,-82.080788,33.467201
25,-82.0805493,33.5375868
25,-82.143793,33.544342
10,-82.126161,33.532249
25,-82.141284,33.521291
35,-82.1328,33.5406
10,-82.1997,33.4574
20,115.9844924,-33.7845269
20,146.685852,-36.360439
25,-116.2019,43.6138
25,-116.203466,43.616068
25,-116.2023,43.6149
70,-116.2064,43.6157
10,-116.2031,43.614
70,-116.185034,43.597235
10,-116.2062,43.5945
25,-116.2022,43.6167
10,-116.193409,43.610279
25,-116.2625,43.6192
25,-116.202845,43.616295
10,-116.199,43.615
10,-116.2463,43.6191
25,-116.245165,43.6051379
40,-116.2021,43.6162
25,-116.2031,43.6156
10,-116.281809,43.619274
40,-116.280614,43.591706
25,-116.347304,43.619108
40,-116.5629,43.5777
40,-91.6336,42.0179
40,-91.6327,42.0281
10,-91.7148,41.9748
40,-91.6224,42.0249
25,-91.6347,42.01
25,-91.6499622,42.0215347
10,-91.7266,41.9639
10,-91.6394,42.0468
25,-91.569767,41.670466
25,-91.5687,41.6685
10,-91.534424,41.660982
10,-91.531414,41.663849
25,-91.531093,41.663751
40,-91.534302,41.658691
25,-91.5314,41.6648
40,-91.5341,41.661
25,-91.482165,41.667742
40,-91.5318,41.6625
25,-91.5074,41.6428
25,-91.5995,42.0331
25,-82.188438,42.397683
10,-123.368151,46.126967
25,-114.472474,51.183934
10,-84.992671,32.470315
25,-84.95591,32.519247
25,-84.927047,32.555591
25,-84.9436,32.5577
25,-84.9936,32.4656
40,-84.954984,32.5382197
10,-84.9876,32.4637
40,-84.9933631,32.4652417
40,-84.96661,32.534002
40,-84.95367,32.513154
25,-84.947569,32.504657
25,-84.9607,32.5393
25,-84.9464,32.4792
0,-84.9427,32.481
25,-84.9557,32.5321
40,-84.992093,32.466158
10,-84.938698,32.560905
25,-84.991384,32.468757
40,-84.963201,32.527217
40,-85.0213,32.7455
25,-110.7746994,52.0082889
25,-84.9396931,34.5251331
10,-84.926258,34.474635
25,-84.9523921,34.4972488
10,-84.767911,34.752476
10,-84.969393,34.769686
25,-85.0039,34.7643
40,-84.992342,34.759551
10,-84.992924,34.759665
25,-84.999678,34.758645
10,-84.9678,34.7742
10,-84.990925,34.759273
10,-84.9964,34.7604
25,-85.2229101,34.9428786
10,-85.246237,34.9528157
25,-85.2545,34.9546
10,-85.294955,34.705093
10,-85.1321,34.9273
10,-85.130492,34.912109
10,-85.1079396,34.9151853
10,-85.249727,34.851907
25,-90.496986,41.574935
40,-90.522479,41.53845
25,-90.4912446,41.5747801
10,-90.504176,41.548746
25,-90.50709,41.525384
25,-90.574088,41.593892
25,-90.565837,41.574459
10,-90.5716,41.5604
70,-90.5737,41.5223
25,-90.59466452,41.52253634
25,-90.5154313,41.5709434
0,-90.5683,41.5699
25,-90.5321,41.5749
25,-90.5432,41.5747
10,-90.572418,41.520389
25,-90.5137,41.5745
25,-90.5686,41.559
25,-90.6136,41.5944
40,-90.515175,41.570997
25,-90.517,41.5747
25,-93.610084,42.010254
25,-93.643094,42.048779
40,-93.677638,41.614965
25,-93.739573,41.600564
25,-93.760027,41.60028
25,-93.627896,41.583309
40,-93.6300803,41.5857431
25,-93.621631,41.585465
10,-93.637401,41.587219
40,-93.620726,41.58536
40,-93.629436,41.584027
25,-93.611366,41.590819
10,-93.61474,41.590106
70,-93.577383,41.601415
10,-93.645245,41.545869
10,-93.6976773,41.6714654
25,-93.659797,41.603901
25,-93.772033,41.615083
25,-93.73624,41.594039
40,-93.7441981,41.5991771
7,153.137401,-26.783576
10,-90.667668,42.504759
25,-90.6499328,42.5124724
10,-90.6684746,42.5032004
25,-90.658609,42.496464
25,-90.664029,42.495689
25,-90.715247,42.492018
10,-90.740213,42.49092
0,-90.7264,42.4955
25,-90.645294,42.516621
40,-90.712084,42.492963
25,-90.6646,42.5043
40,-90.668164,42.503075
10,-90.7055,42.4916
10,-90.6677349,42.500191
25,-90.6691,42.5048
40,-90.6651,42.4974
25,-90.6658,42.4963
10,-90.663686,42.4982789
25,-90.684882,42.527556
70,-90.658988,42.496378
20,153.593331,-28.862663
10,-119.252694,39.607515
30,152.8771473,-26.6521332
20,143.714315,-38.517292
25,-83.8461,34.0901
10,-83.520693,34.61802
25,-83.985353,34.532973
40,-83.9858,34.5318
10,-83.983939,34.533626
10,-83.989317,34.541044
25,-83.986119,34.533198
25,-83.938024,34.183573
40,-83.926217,34.185707
10,-83.927794,34.180043
25,-83.838457,34.285102
10,-83.857993,34.300182
25,-83.860098,34.222755
25,-83.824023,34.300567
10,-83.8272,34.3166
25,-83.82686,34.300332
40,-83.727741,34.701594
10,-83.7345,34.7024
25,-83.7334,34.7021
10,-83.713498,34.691208
20,144.1387014,-37.3123267
7,144.110062,-37.275494
20,150.6710743,-35.0388698
7,145.7287133,-38.6347458
7,147.9942247,-37.8783865
10,-120.3458,42.1885
25,-96.7072,40.8143
20,151.558475,-32.728097
20,144.564174,-37.423189
25,-83.594494,32.567741
10,-83.657061,32.853896
25,-83.6737,32.8496
25,-83.6766,32.8899
25,-83.6279,32.8361
40,-83.627979,32.83641
40,-83.713978,32.929278
70,-83.6276,32.8375
10,-83.628703,32.83654
70,-83.787993,32.928495
10,-83.6873,32.901
25,-83.662421,32.556873
25,-83.624,32.5786
10,-83.6665,32.6184
25,-83.691044,32.552684
10,-83.64935,32.594666
25,-83.636618,32.6176839
25,-83.600201,32.619321
10,-83.665557,32.593264
40,-83.7184,32.6147
20,151.7343832,-32.899178
10,-85.7363,46.3718
30,117.917166,-35.025861
0,-98.9891,44.5158
25,-89.653487,42.606306
30,152.893735,-26.690462
40,-106.057666,36.313638
40,-81.381077,28.540432
45,-81.585226,28.405437
35,-81.514608,28.372858
50,-81.517725,28.371338
40,-81.469986,28.440344
100,-81.4510725,28.4676808
45,-81.471526,28.437065
50,-81.471447,28.433235
35,-81.364347,28.560505
10,-81.364547,28.557845
60,-81.487978,28.448175
40,-81.266871,28.811653
25,-81.351467,28.543571
35,-81.522987,28.527592
25,-81.322631,28.601088
25,-81.357219,28.597366
40,-81.3508344,28.5976271
25,-81.352921,28.592857
40,-81.36526,28.596682
40,-81.356024,28.593297
30,145.670768,-16.748083
120,147.7227832,-37.9194154
20,140.837409,-37.379153
25,-86.8573393,30.4025979
40,-87.2027,30.4179
10,-87.1819,30.4251
10,-87.2216,30.4982
40,-87.205855,30.417318
25,-87.213274,30.403034
25,-87.2150874,30.4116106
25,-87.2080932,30.4473322
40,-87.2092,30.4101
40,-87.2153054,30.411878
25,-87.2252,30.4767
40,-87.211082,30.407358
25,-87.214,30.4692
40,-87.143,30.3359
40,-87.142602,30.335521
25,-87.132932,30.334776
40,-87.164376,30.327864
40,-87.149178,30.34262
10,-87.4218962,30.3199824
40,-87.427707,30.308468
20,145.237813,-38.448307
10,-112.3415,43.1903
45,-112.461326,42.910518
10,-112.0132,42.62
0,-112.0127,42.6192
40,-112.4423,42.8661
30,-112.4516,42.8919
10,-112.441,42.8928
10,-112.4397,42.8631
10,-112.4365,42.8604
25,-112.4524,42.8639
10,-112.459988,42.878077
25,-112.443213,42.860024
40,-112.432,42.9012
0,-112.4433,42.8942
25,-112.452013,42.88245
25,-112.45253,42.863969
25,-112.450106,42.861871
40,-112.4413856,42.8585987
25,-112.44853,42.891174
10,-112.4419,42.8774
25,-116.704731,32.613431
70,-74.651139,40.352385
25,-157.948486,21.677078
35,-155.997362,19.642752
10,-157.813432,21.284586
30,-156.455284,20.748838
10,-156.451847,20.731487
40,-156.4309473,20.6883746
40,-156.452556,20.733554
10,-156.674835,20.885226
10,-156.684967,20.886564
25,-156.667037,20.992316
40,-156.693821,20.921347
40,-156.680666,20.876127
70,-156.366445,20.929622
10,-157.825979,21.279476
40,-157.8312476,21.2794952
25,-157.822716,21.271826
70,-157.827196,21.277583
10,-157.831538,21.280663
70,-157.831176,21.279154
25,-157.836031,21.285396
40,-81.0954,32.0804
40,-81.096647,32.052858
10,-81.0894,32.0785
40,-81.0955,32.0727
25,-81.0911,32.0775
25,-81.0916,32.0809
40,-81.0844,32.0782
25,-81.0875,32.0798
25,-81.0979,32.0735
10,-81.0941,32.0801
10,-81.0905213,32.0794767
40,-81.0897,32.0812
25,-81.091482,32.074495
10,-81.097051,32.080742
70,-81.092484,32.081394
25,-81.0939,32.0747
70,-81.0897,32.0798
70,-81.0908,32.0809
40,-80.865909,32.011689
10,-80.848297,31.99581
300,103.8600048,1.2826608
270,103.8594222,1.285476931
500,103.8403602,1.279419756
80,103.8416688,1.280502991
430,103.8536048,1.293220698
315,103.8430222,1.27944363
20,103.859422,1.300404333
100,103.8070809,1.331128397
50,103.8146178,1.29782554
80,103.8621195,1.310668316
40,103.8604162,1.311550709
30,103.8558665,1.289761964
220,103.859955,1.2905805
300,103.8601766,1.290800881
60,103.840921,1.278373182
60,103.8584296,1.301707168
95,103.839165,1.290083898
50,103.8581813,1.303034648
40,103.8482541,1.28197
75,103.8519943,1.299707726
40,-96.1608,42.7956
10,-96.379,42.4765
10,-96.4173,42.5026
10,-96.4051,42.492
40,-96.4046,42.4965
25,-96.3479,42.4391
25,-96.362,42.4375
25,-96.3596,42.4764
10,-96.4048,42.4985
10,-96.378049,42.495534
10,-96.3755,42.4876
10,-96.4063904,42.4930681
40,-96.418,42.5212
10,-96.3691,42.4351
25,-96.3959487,42.4944454
40,-96.349464,42.440592
10,-96.4136,42.5011
40,-96.4204,42.5106
25,-96.4019631,42.4949153
70,-96.4092028,42.485608
25,-82.762624,27.96076
25,-82.636924,27.770026
25,-82.6329663,27.7737426
25,-82.6333294,27.7711464
25,-82.632174,27.775462
70,-82.482962,27.931516
40,-82.46887,27.941942
70,-82.469306,27.944244
25,-82.4852372,27.9410382
25,-82.483124,27.935039
40,-82.843253,27.848357
10,-82.673621,27.792047
40,-82.820856,27.816086
40,-82.41294,28.082909
40,-82.638843,27.816848
40,-82.4932815,27.9219315
40,-82.451041,27.993645
10,-82.449897,27.995964
40,-82.459339,27.99384
40,-82.4351499,27.959884
30,138.966064,-34.519619
20,144.41272,-37.396942
25,-83.319123,30.846819
25,-83.3247,30.8426
40,-83.2799,30.8332
40,-83.3170843,30.8164364
35,-83.318554,30.841892
25,-83.279,30.8308
10,-83.2792,30.8308
40,-83.3085736,30.8223548
25,-83.316402,30.824691
10,-83.28078,30.850888
25,-83.29633,30.880146
40,-83.2851,30.8433
10,-83.281,30.8465
25,-83.310343,30.846763
25,-83.3283,30.8971
70,-83.318958,30.841547
25,-83.289338,30.87114
25,-83.2868,30.868
40,-83.2796,30.8316
25,-83.332796,30.897087
10,-123.1954368,45.858667
20,138.624316,-35.5536609
70,-79.3791465,43.1868697
10,-92.456343,42.516908
25,-92.4507,42.5464
10,-92.4599,42.5377
10,-92.4322,42.5133
25,-92.432177,42.512646
10,-92.466597,42.509472
40,-92.4453,42.5366
25,-92.444,42.5219
40,-92.426215,42.51259
10,-92.4457417,42.5354081
25,-92.4457,42.5375
25,-92.4291,42.5127
25,-92.445723,42.53489
25,-92.323032,42.477281
40,-92.339721,42.494908
10,-92.356066,42.458979
25,-92.3772,42.499705
10,-92.335523,42.4984
10,-92.335769,42.497919
25,-92.3234,42.46558
25,-80.529488,40.396043
25,-124.175346,43.678998
25,-102.4613173,51.2106824
190,54.38279729,24.49550307
260,54.38294616,24.49569253
150,54.38193094,24.48557932
70,54.37127855,24.47756501
100,54.38080709,24.4543119
180,54.37500816,24.47083582
230,54.37332205,24.46936983
350,54.365694,24.491235
120,54.52412188,24.33421694
60,54.36377607,24.48525254
100,54.36615754,24.48277094
250,54.41314146,24.43409939
50,54.51003961,24.36312973
70,54.37143378,24.48841145
80,54.37324997,24.48959102
100,54.37422059,24.49089202
330,54.4872137,24.4106148
500,54.358147,24.488161
250,54.35782894,24.48761082
200,54.60685361,24.49053138
280,55.310519,25.095044
90,55.30919038,25.25124063
90,55.3019169,25.25007862
150,55.215341,25.11338
200,55.26191946,25.2080323
160,55.32874,25.254105
500,55.281966,25.211183
160,55.17874617,25.10777315
300,55.35147775,25.22399154
140,55.25639722,25.21110278
100,55.21152779,25.16812806
160,55.19854523,25.11851301
150,55.288061,25.252054
500,55.28256778,25.22347744
150,55.27340334,25.24107351
285,55.278525,25.198291
270,55.27856994,25.19726756
170,55.27927805,25.19500831
250,55.27430557,25.21135663
130,55.32548446,25.22931113
85,55.39273214,25.33315516
70,55.396984,25.338089
120,55.39269626,25.33320395
65,55.37637066,25.32578908
110,55.38474888,25.32451353
40,55.37086055,25.33045321
100,55.37552107,25.32813499
80,55.38215585,25.35508316
90,55.38290787,25.35443539
80,55.37454341,25.30564046
50,55.37728127,25.3084117
60,55.39045796,25.34640794
160,55.376027,25.32188994
130,55.39922744,25.34839077
250,55.38781766,25.32774497
60,55.45195531,25.2887722
250,55.37353624,25.29782287
150,55.45834266,25.3084123
50,55.45425095,25.31127229
110,55.460279,25.310369
850,78.01154444,27.16166111
700,0,0
500,78.01160797,27.16083249
400,77.99809167,27.19592778
1000,78.00755278,27.201725
2000,0,0
2500,78.044095,27.160934
2500,78.044095,27.160934
800,0,0
3600,78.057044,27.163303
0,78.057044,27.163303
550,78.01505278,27.16510833
1100,78.04299,27.159795
0,78.040165,27.16185
1500,0,0
0,0,0
900,78.04725,27.15777222
700,78.03471389,27.16169444
1000,0,0
700,78.045359,27.158822
900,72.5375741,23.01045111
1800,72.572009,23.0261651
300,72.5123947,23.0383109
800,72.5017644,23.0401633
900,72.5098065,23.0330688
500,72.5124872,23.0382314
1000,72.511307,23.0318508
1000,72.5570374,23.0290619
1400,72.5115815,23.027929
350,72.55998429,23.02874796
450,72.55903311,23.02443364
900,72.5316389,23.0643038
600,72.5239649,23.04850469
700,72.53774978,23.04619268
700,72.5498285,23.0437235
600,72.5504755,23.0443367
950,72.5072645,23.0117723
1200,72.5181257,23.0534466
1200,72.5222172,23.0640914
550,72.5281083,23.0418026
1200,72.5434513,23.0285142
500,81.834502,25.454648
350,81.83316667,25.45343611
500,81.832616,25.451517
600,0,0
600,81.835585,25.457687
600,0,0
500,81.839744,25.449659
400,81.834279,25.450329
800,0,0
700,0,0
400,0,0
500,81.860187,25.443994
0,81.83279631,25.45164569
500,81.834841,25.459775
1000,81.83616667,25.44987222
200,81.834236,25.450377
500,81.841889,25.45235
500,81.83168056,25.45031667
400,81.859682,25.457116
800,81.834492,25.454697
700,74.884359,31.64362
300,74.884384,31.644532
100,0,0
800,74.875878,31.635658
150,74.87575556,31.63488333
300,74.875828,31.635671
500,0,0
1200,74.86276111,31.65558889
400,74.86299167,31.65044167
700,74.8649101,31.6466891
200,74.86416667,31.65319167
600,74.87981389,31.62404722
500,74.87461944,31.62394722
500,74.87833333,31.62615278
500,74.877666,31.625981
400,74.87957778,31.62261111
100,0,0
500,74.873005,31.624386
500,74.883997,31.641991
1000,74.877002,31.644818
150,0,0
800,75.34601667,19.87621944
850,0,0
600,75.35394167,19.87473333
700,75.340775,19.87610556
350,75.3671268,19.8755223
450,75.360232,19.874449
1800,75.358888,19.875908
500,75.36479167,19.87642778
500,75.3684187,19.874103
1000,75.316722,19.875337
300,0,0
400,75.32340278,19.87963056
700,75.32350278,19.88025556
450,75.322405,19.875016
450,75.317475,19.87802778
400,0,0
650,75.37235278,19.87699444
600,75.321461,19.888716
450,75.31889444,19.86696944
500,0,0
1300,77.61542793,12.93328392
2400,77.64539558,12.97022064
2000,77.64070876,12.9791658
1300,77.64048882,12.98041024
1500,77.645748,12.970324
800,77.64062494,12.97909556
600,77.64368467,12.97845292
600,77.59679094,12.90622878
950,77.615797,12.934179
800,77.61429269,12.93329764
1400,77.61615515,12.93436454
400,77.625999,12.939496
1500,77.61413042,12.93566181
1400,77.6993861,12.94993396
1200,77.696664,12.97537691
600,77.5709967,13.0291977
1200,77.60817859,12.97253153
1800,77.68323686,12.91304096
1400,77.6784,12.914264
1500,77.5960137,12.9721612
200,77.419399,23.211529
600,0,0
250,77.435361,23.214294
700,77.41722744,23.18499152
500,77.434976,23.214459
1000,77.429989,23.232357
1000,0,0
650,77.429845,23.232537
600,0,0
500,77.3796051,23.26626099
550,77.433571,23.233219
500,0,0
350,77.43702042,23.23079116
500,0,0
400,77.434007,23.234249
400,77.408236,23.264015
1800,77.373573,23.218998
500,77.401663,23.234631
900,0,0
500,77.398886,23.235123
500,0,0
550,85.846838,20.286333
1200,0,0
600,85.81781287,20.32553933
500,85.81856667,20.32634444
500,0,0
850,85.83394811,20.31149633
1400,85.819178,20.301785
450,85.80823611,20.34306944
600,85.82272222,20.353675
450,85.825257,20.35324774
500,85.82685,20.35299167
450,85.82599327,20.35343289
900,85.82289287,20.34347604
400,85.81112333,20.34314407
800,0,0
300,85.82225987,20.35348061
500,85.84295925,20.29322917
900,85.84516996,20.29575519
1500,85.818494,20.292363
400,85.82669624,20.28398889
850,76.801234,30.71005476
1600,76.8009555,30.7050693
1400,76.8007752,30.7056682
1600,76.80064,30.7056102
1400,76.8008653,30.7051482
1200,76.8009555,30.705775
1300,76.8051917,30.7257045
1800,76.8063634,30.7249431
700,76.801316,30.7194841
1000,76.76560555,30.72476574
650,76.76055595,30.72152328
650,76.7606106,30.7216086
450,76.76028337,30.72137975
600,76.75984483,30.72114167
800,76.8009793,30.7306181
2200,76.7976205,30.7334795
500,76.7978909,30.740827
600,76.7972148,30.7408896
800,80.250744,13.0058006
800,80.2206723,13.0864385
750,80.2191037,13.0918088
850,80.20881157,13.02977985
1700,80.264151,13.058616
450,80.25722075,13.05434714
350,80.24851944,13.08187778
1100,80.24243889,13.02239444
1500,80.26147,13.044694
1200,80.251865,13.066762
1000,80.23644167,13.06418056
900,80.24998214,12.97279291
1200,80.25479067,13.02701773
850,80.17456822,13.02627908
850,80.2752348,13.02628637
1500,80.24226844,13.04964535
2000,80.23311,13.045479
1600,80.231598,12.981615
1400,80.21811381,12.98604688
900,80.221898,12.975996
800,76.9720757,11.01629845
600,76.995667,11.022477
400,77.015393,11.025083
600,77.00700302,11.02483917
500,76.99959444,11.02216944
1200,76.99501667,11.02127778
450,76.971082,10.96185
350,76.976268,11.001852
1200,76.98431119,11.00863836
700,76.9754397,11.0030085
1200,76.98624135,11.00175265
600,76.98187642,11.00076241
1000,76.97649444,11.00366944
1500,76.975525,11.00368056
400,76.95173611,11.00668611
1400,76.95295,11.010375
350,76.94465239,11.02611735
700,76.940432,11.02091
300,76.9983492,11.02229761
1400,76.96330278,10.99413611
800,0,0
500,0,0
650,78.053162,30.335259
1000,78.060221,30.340722
750,78.062543,30.346994
1500,78.06802238,30.36128079
0,78.06888981,30.36268594
1250,78.067079,30.359722
550,78.054222,30.332735
500,78.049117,30.328174
350,0,0
700,0,0
600,78.070453,30.366322
600,78.04026667,30.31952778
400,0,0
1600,78.061187,30.3425093
1200,78.046106,30.327968
500,0,0
500,78.07715102,30.37220198
600,0,0
250,77.3066401,28.4900591
500,77.304776,28.4901567
150,77.305563,28.4901368
150,77.3061016,28.4900979
100,77.3057446,28.490062
300,77.3053835,28.4901198
100,77.30274167,28.49629167
100,77.303542,28.4959154
400,0,0
300,77.3000877,28.4262842
300,77.2905651,28.4946638
350,77.2905276,28.4946804
300,77.2918292,28.4922473
200,77.2918292,28.4990636
300,0,0
400,77.292431,28.4923251
600,77.3074479,28.4698631
500,77.3074479,28.4695043
700,77.3074479,28.4701322
1100,77.3072684,28.4700256
600,77.3074031,28.4693655
900,77.3074031,28.4693655
300,77.3074479,28.469594
200,77.3074031,28.4693655
500,77.3074928,28.4700019
500,77.30706006,28.46980656
1600,77.3073785,28.4698629
1300,77.3074031,28.4693655
400,77.3130127,28.3980691
200,77.3130127,28.3979794
800,77.3128332,28.397424
1000,77.3131025,28.3978083
200,77.294319,28.4937692
250,77.3139102,28.3868454
200,77.3140449,28.3869029
1200,77.3056977,28.4719854
1500,77.3066401,28.4722089
1500,77.3062507,28.4723428
100,77.3153578,28.4534629
1500,77.316429,28.446715
300,77.2900667,28.3954463
500,77.2874809,28.3939512
500,77.2875524,28.3940171
400,77.2922781,28.3982684
1000,77.2969459,28.4292178
500,77.3144487,28.383665
500,77.3144877,28.3837046
300,77.3145373,28.3836738
450,77.3291609,28.3754863
500,77.3266079,28.3689797
150,77.3270132,28.3692291
450,77.329628,28.3702087
700,77.3288978,28.3777541
400,77.3270132,28.3692291
700,0,0
500,77.3295018,28.3730138
800,77.319026,28.3725172
300,77.3185858,28.371835
450,77.3184832,28.3719511
700,77.32157,28.3692881
200,77.31429167,28.38339444
1500,77.3244365,28.384502
550,77.3144456,28.3811924
400,0,0
100,77.32425,28.38471389
600,77.3229299,28.395009
400,77.3222568,28.3949008
450,77.3236112,28.3952671
600,77.3217184,28.3950296
500,77.3241683,28.3950992
200,77.3235114,28.3951274
600,77.3239437,28.3952906
500,77.3217312,28.3946937
500,0,0
400,77.3224363,28.3951869
950,77.292179,28.452631
600,77.323244,28.3950834
300,77.3234608,28.3950913
1000,77.3236479,28.3950766
400,77.3234235,28.3952798
300,77.3220773,28.3949736
900,77.3235233,28.395196
400,77.317231,28.393261
400,77.3240517,28.3953389
650,77.3244107,28.3951035
400,77.3216428,28.3951385
350,77.3244107,28.3951932
250,77.32343964,28.39483205
150,77.32328642,28.39527358
400,77.3218081,28.3947688
750,77.3244107,28.395283
400,77.29659833,28.43002333
400,77.3231543,28.3952545
150,77.3244651,28.3950376
500,77.3219427,28.3948264
650,77.32380275,28.39572041
400,77.3203273,28.4104693
300,77.3201927,28.4107707
400,77.3192063,28.4106963
400,77.3185323,28.4106593
500,77.3190765,28.4108198
250,77.318667,28.4106772
800,77.3199015,28.4095652
300,0,0
400,77.3185772,28.4108878
400,77.3190262,28.4105451
300,77.3187017,28.4106649
300,77.3200132,28.4118307
300,77.3202824,28.4120355
250,77.3203273,28.4104693
250,77.3196991,28.4104999
400,77.3185772,28.4107084
500,77.3189708,28.4120254
400,77.3266023,28.4101024
700,77.329167,28.4101795
600,77.3288978,28.4106029
500,77.3275764,28.4103725
300,77.326744,28.4099515
400,77.3278324,28.4101647
100,77.3279106,28.4103306
500,77.3279106,28.4105998
700,77.32609671,28.4101156
700,77.326227,28.409801
200,77.3138205,28.417529
700,77.3144487,28.4175882
200,77.2969594,28.4304159
100,77.2967664,28.4317132
350,77.2964432,28.4301217
200,0,0
200,77.2963379,28.4298355
250,0,0
400,77.2969354,28.4300562
300,77.291919,28.4221037
400,0,0
500,77.2964494,28.4296999
300,77.2965369,28.4298396
100,77.2966226,28.4301909
700,0,0
300,77.3002223,28.4263417
650,77.31297973,28.43892133
200,77.315069,28.4353341
200,77.3150688,28.4353375
400,0,0
100,77.3211256,28.4334516
600,77.3212535,28.4334249
300,0,0
700,77.309147,28.446933
350,77.317127,28.4465451
350,77.315795,28.4452616
500,77.31723889,28.44589444
300,0,0
300,0,0
200,77.3170515,28.4466361
300,77.3159508,28.4549967
350,0,0
400,77.3149118,28.4718644
800,77.3107195,28.471413
150,77.3108138,28.471302
400,77.3108138,28.471302
500,77.3060306,28.4749127
100,77.3105616,28.4711559
500,77.30693936,28.48429689
500,77.3062811,28.4807864
150,77.3116575,28.480381
100,77.3104099,28.4805482
600,77.30677778,28.48426667
1000,77.3104996,28.480467
400,77.3107689,28.4805821
300,77.3113972,28.4805517
500,77.3115506,28.4804188
350,77.3109543,28.4807634
100,77.3066403,28.48420819
200,77.311746,28.4805778
300,77.3114869,28.4808293
400,77.3106046,28.4803991
300,77.3113363,28.4806939
350,77.3104099,28.4806379
200,77.3103201,28.4808985
100,77.3092797,28.4773757
400,77.3060567,28.474531
500,77.3056065,28.4807304
500,77.28759091,28.46626355
550,77.28919957,28.46191014
400,0,0
600,0,0
300,77.30027778,28.46118611
300,0,0
700,77.3001795,28.4609554
350,77.2886873,28.460556
500,77.2978395,28.4622059
550,77.30083365,28.46227858
100,77.2847783,28.46117
400,0,0
100,77.2988233,28.4621065
350,77.29056667,28.46681111
100,77.2845595,28.4601453
200,77.2999207,28.4614258
600,77.29738433,28.46210674
700,77.2983871,28.4376977
